,classiferErr,IPErr,All_Errs,Which Code,err_code,sub_code,paper_type,status,err_img,remark,error_msg,Final_Err_msg,Qualifiers,Reason,
10x for Succes,,All_Good,All_Good,Both,100,0,both,success,NA,Success,,ERR_10000_All_Good,"BlurBool, prefer Better Contrast,goCloser",Success,SUCCESS
,,AllGood_WidthEstimatedTo_38P,AllGood_WidthEstimatedTo_38P,Both,101,2,both,success,NA,Success with width estimation,Width Estimated to be a normal foot,ERR_10102_AllGood_WidthEstimatedTo_38P,"BlurBool, prefer Better Contrast,goCloser",Success with width estimation,
,,AllGood_WidthEstimatedTo_44P,AllGood_WidthEstimatedTo_44P,DP,102,2,double,success,NA,Success with width estimation,Width Estimated to be a wider foot,ERR_10202_AllGood_WidthEstimatedTo_44P,"BlurBool, prefer Better Contrast,goCloser",Success with width estimation,
,,AllGood_WidthEstimatedTo_48P,AllGood_WidthEstimatedTo_48P,SP,103,2,single,success,NA,Success with width estimation,Width Estimated to be a wider child  foot,ERR_10302_AllGood_WidthEstimatedTo_48P,"BlurBool, prefer Better Contrast,goCloser",Success with width estimation,
,,AllGood_WidthEstimatedTo_34P,AllGood_WidthEstimatedTo_34P,Both,104,2,both,success,NA,Success with width estimation,Width Estimated to be a narrower foot,ERR_10402_AllGood_WidthEstimatedTo_34P,"BlurBool, prefer Better Contrast,goCloser",Success with width estimation,
111-140 is paper Errs,NO_PPR_FOUND,,NO_PPR_FOUND,Both,111,1,both,error,ERROR9,No Paper found :( ,"Sorry, but we need a  paper to measure your foot! Please retake using a clean standard paper on a slightly darker floor. ",ERR_11101_NO_PPR_FOUND,,No Paper found :(,PPR ERRS
,SPP_FIPO_DPL,,SPP_FIPO_DPL,DP,112,1,double,error,ERROR14,Papers not arranged right,We expected two horizontal papers but you seem to have one vertical paper . Please match the paper arrangement to the green outline shown on the camera screen. ,ERR_11201_SPP_FIPO_DPL,,Paper not correct,
,DPL_FIPO_SPP,,DPL_FIPO_SPP,SP,113,1,single,error,ERROR13,Papers not arranged right,We expected one vertical paper & you have two horizontal papers . Please match the paper arrangement to the green outline shown on the camera screen. ,ERR_11301_DPL_FIPO_SPP,,Paper not correct,
,DP_PORTRAIT,,DP_PORTRAIT,Both,114,1,both,error,ERROR14,Papers not arranged right,We expected two horizontal papers but you seem to have two vertical papers . Please match the paper arrangement to the green outline shown on the camera screen. ,ERR_11401_DP_PORTRAIT,,Paper not kept right,
,SPL_FIPO_SPP,,SPL_FIPO_SPP,SP,115,1,single,error,ERROR13,Papers not arranged right,We expected one vertical paper & you have one horizontal paper . Please match the paper arrangement to the green outline shown on the camera screen. ,ERR_11501_SPL_FIPO_SPP,,Paper not kept right,
,SPL_FIPO_DPL,,SPL_FIPO_DPL,DP,116,1,double,error,ERROR14,Papers not arranged right,We expected two horizontal papers but you seem to have one horizontal paper . Please match the paper arrangement to the green outline shown on the camera screen. ,ERR_11601_SPL_FIPO_DPL,,Paper not kept right,
,,TL_Outside_Img,TL_Outside_Img,SP,117,1,single,error,ERROR10,Top Left corner of paper not found,Oops! top left corner of the paper seems to be out of the picture. Please retake the picture with paper roughly aligned with green rectangle.,ERR_11701_TL_Outside_Img,,TL Corner outside Image,
,,TR_Outside_Img,TR_Outside_Img,SP,118,1,single,error,ERROR10,Top Right corner of paper not found,Oops! top Rightcorner of the paper seems to be out of the picture. Please retake the picture with paper roughly aligned with green rectangle.,ERR_11801_TR_Outside_Img,,TR Corner outside Image,
,,TL_Corner_Bad,TL_Corner_Bad,SP,119,1,single,error,ERROR10,Top Left corner of paper not found,"Oops! top left corner of the paper seems folded or torn. Please retake with a fresh white paper with crisp corner corners. If you are taking the picture on a carpet, please take the picture on hard floor.",ERR_11901_TL_Corner_Bad,,TL Corner Folded/Torn/ or NonStandardPaper,
,,TR_Corner_Bad,TR_Corner_Bad,SP,120,1,single,error,ERROR10,Top Right corner of paper not found,"Oops! top right corner of the paper seems folded or torn. Please retake with a fresh white paper with crisp corner corners. If you are taking the picture on a carpet, please take the picture on hard floor.",ERR_12001_TR_Corner_Bad,,TR Corner Folded/Torn/ or NonStandardPaper,
